identifier,name,gwp_kgCO2e_per_kg,source,database_version,region,retrieved_date,uncertainty_class,license,notes,inchikey,gsd
108-21-4,isopropyl acetate,2.5837801276463463,DERIVED by carbonroute bootstrap from data/processes/isopropyl-acetate.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from isopropyl-acetate.yaml. Route: Fischer esterification of isopropanol with acetic acid. Floor 1.82701, upper 3.65402 kgCO2e/kg (completeness floor 0.5); lower bound; 4 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: isopropanol: 0.606495 kg/kg x 1.7 kgCO2e/kg = 1.03104 (table: Isopropanol (2-propanol, high purity)); acetic acid: 0.606186 kg/kg x 1.31308 kgCO2e/kg = 0.795967 (derived: acetic acid). Omitted: process electricity: not stated in the recipe; process fuel/steam: not stated in the recipe; recipe-declared gap: No process energy (electricity or fuel/steam) figure for isopropyl acetate production was found in either patent consulted, or in any BREF/AP-42 source.; recipe-declared gap: As with ethyl acetate, the 97% figure is a stated selectivity for 'ester products' generally in a coproduction process, not a single-substance isopropyl-acetate-only figure isolated from raw plant data..",JMMWKPVZQRWMSS-UHFFFAOYSA-N,1.2345441368401413
121-44-8,triethylamine,1.4798316061609245,DERIVED by carbonroute bootstrap from data/processes/triethylamine.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from triethylamine.yaml. Route: Hydrogenation of acetonitrile (a by-product of acrylonitrile manufacture). Floor 1.0464, upper 2.0928 kgCO2e/kg (completeness floor 0.5); lower bound; 6 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: hydrogen: 0.123834 kg/kg x 8.45 kgCO2e/kg = 1.0464 (table: Hydrogen (chemical-grade, natural-gas steam reforming)). Omitted: acetonitrile (cas:75-05-8): no factor available; process electricity: not stated in the recipe; process fuel/steam: not stated in the recipe; recipe-declared gap: No process energy (electricity or fuel/steam) figure was found for either the acetonitrile-hydrogenation route used here or the ethanol-amination route described as dominant.; recipe-declared gap: Could not confirm, from a document actually retrieved and read, the relative market share of the acetonitrile-hydrogenation route vs. the ethanol-hydroamination route; only the CN114716325A patent's own (unverifiable-elsewhere) assertion that ethanol hydroamination is 'the industrialized' method.; recipe-declared gap: CN114716325A's Table 1 (conversion/selectivity data for its eleven examples) could not be extracted as text from the Google Patents HTML retrieved in this session; a future session should try Espacenet or the USPTO/WIPO PDF directly..",ZMANZCXQSJIPKH-UHFFFAOYSA-N,1.2345441368401413
124-40-3,dimethylamine,2.7351999745413975,DERIVED by carbonroute bootstrap from data/processes/dimethylamine.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from dimethylamine.yaml. Route: Catalytic amination of methanol with ammonia. Floor 1.93408, upper 3.86816 kgCO2e/kg (completeness floor 0.5); lower bound; 4 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: methanol: 1.57933 kg/kg x 0.521 kgCO2e/kg = 0.822833 (table: Methanol); ammonia: 0.419778 kg/kg x 2.64722 kgCO2e/kg = 1.11125 (derived: ammonia). Omitted: process electricity: not stated in the recipe; process fuel/steam: not stated in the recipe; recipe-declared gap: route.yield (0.90) is methanol CONVERSION from the cited patent, used as a proxy for overall DMA yield under an unverified assumption of near-complete MMA/TMA recycle to extinction -- not a directly stated DMA-specific yield figure. A future contributor should look for an explicit overall DMA yield/utilisation number to replace this proxy.; recipe-declared gap: No process-energy figure for dimethylamine production was found; the cited patent notes DMA/ammonia/MMA azeotrope separation is energy- intensive ('the energy consumption in the DMA recovery process becomes very great') but gives no number..",ROSDSFDQCJNGOL-UHFFFAOYSA-N,1.2345441368401413
141-78-6,ethyl acetate,2.1663259131347705,DERIVED by carbonroute bootstrap from data/processes/ethyl-acetate.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from ethyl-acetate.yaml. Route: Fischer esterification of ethanol with acetic acid. Floor 1.53182, upper 3.06365 kgCO2e/kg (completeness floor 0.5); lower bound; 4 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: ethanol: 0.539072 kg/kg x 1.13 kgCO2e/kg = 0.609152 (table: Ethanol (high purity)); acetic acid: 0.70268 kg/kg x 1.31308 kgCO2e/kg = 0.922672 (derived: acetic acid). Omitted: process electricity: not stated in the recipe; process fuel/steam: not stated in the recipe; recipe-declared gap: No process energy (electricity or fuel/steam) figure for ethyl acetate production was found in either patent consulted, or in any BREF/AP-42 source (neither covers ethyl acetate).; recipe-declared gap: The 97% figure is a stated selectivity to 'ester products' generally in a coproduction process (with isopropyl acetate); a single-substance, single-pass ethyl-acetate-only yield number was not separately found..",XEKOWRVHYACXOJ-UHFFFAOYSA-N,1.2345441368401413
144-55-8,sodium bicarbonate,1.0840801400000002,DERIVED by carbonroute bootstrap from data/processes/sodium-bicarbonate.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from sodium-bicarbonate.yaml. Route: Solvay (ammonia-soda) process - brine ammoniation and carbonation. Floor 0.76656, upper 1.53312 kgCO2e/kg (completeness floor 0.5); lower bound; 9 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: ammonia: 0.289571 kg/kg x 2.64722 kgCO2e/kg = 0.76656 (derived: ammonia). Omitted: sodium chloride (cas:7647-14-5): no factor available; carbon dioxide (cas:124-38-9): no factor available; process electricity: not stated in the recipe; process fuel/steam: not stated in the recipe; recipe-declared gap: route.yield (0.70) is the Na+ conversion figure, applied uniformly to all three inputs though the source gives a different (~80%) figure for CO2 and none at all for ammonia -- see the route.yield caveat in notes.; recipe-declared gap: No stated (non-stoichiometric) feedstock-consumption figures were found for the primary ammoniation-carbonation step itself; only stoichiometric values are given for NaCl/NH3/CO2 above. Stated figures exist only for the separate downstream refined-bicarbonate purification step (see notes) and were not substituted in, to avoid conflating two different process steps.; recipe-declared gap: No electricity or fuel energy figure specific to sodium bicarbonate (or its immediate precipitation step) was found. The source's only quantified energy table (Table 2.22, 'Ranges of energy consumption in soda ash production': fuels 7.5-10.8 GJ/t soda ash + electricity 50-130 kWh/t soda ash + lime-kiln fuel 2.2-2.8 GJ/t) is for soda ash as a whole plant, not attributable to the bicarbonate step specifically, and is not used here to avoid an unfounded allocation.; recipe-declared gap: H2O input is stoichiometrically required (0.2145 kg/kg by the same derivation) but omitted as a listed input: this ledger's schema and the engine it feeds treat water inputs as out of scope for GWP accounting per the letermovir benchmark precedent (deionised/process water has its own near-zero-impact factor entry), so it is noted here rather than listed to avoid double-counting against that factor.; recipe-declared gap: Only the 2007 LVIC-S BREF was consulted; no newer edition or BAT Conclusions document was located/checked for this substance..",UIIMBOGNXHQVGW-UHFFFAOYSA-M,1.2345441368401413
1634-04-4,MTBE,0.2683654450798447,DERIVED by carbonroute bootstrap from data/processes/mtbe.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from mtbe.yaml. Route: Etherification of isobutylene with methanol. Floor 0.189763, upper 0.379526 kgCO2e/kg (completeness floor 0.5); lower bound; 5 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: methanol: 0.364228 kg/kg x 0.521 kgCO2e/kg = 0.189763 (table: Methanol). Omitted: isobutylene (cas:115-11-7): no factor available; process electricity: not stated in the recipe; process fuel/steam: not stated in the recipe; recipe-declared gap: No process energy (electricity or fuel/steam) figure for MTBE production was found in the cited patent or any BREF/AP-42 source consulted.; recipe-declared gap: No source for MTBE's global feedstock share (isobutylene sourced from FCC off-gas, steam-cracker C4 raffinate, or on-purpose dehydrogenation) was found; the recipe therefore does not distinguish where the isobutylene itself comes from, which would materially change its own upstream footprint..",BZLVMXJERCGZMT-UHFFFAOYSA-N,1.2345441368401413
64-19-7,acetic acid,1.3130751630495947,DERIVED by carbonroute bootstrap from data/processes/acetic-acid.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from acetic-acid.yaml. Route: Methanol carbonylation (Cativa iridium-catalysed process). Floor 0.928484, upper 1.85697 kgCO2e/kg (completeness floor 0.5); lower bound; 7 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: methanol: 0.5336 kg/kg x 0.521 kgCO2e/kg = 0.278006 (table: Methanol); carbon monoxide: 0.4664 kg/kg x 1.39468 kgCO2e/kg = 0.650479 (table: Carbon monoxide). Omitted: methanol: stoichiometric quantity with no sourced yield to divide by; counted at theoretical demand, which understates it; carbon monoxide: stoichiometric quantity with no sourced yield to divide by; counted at theoretical demand, which understates it; process electricity: not stated in the recipe; process fuel/steam: not stated in the recipe; recipe-declared gap: No route.yield sourced: the consulted patent is a selectivity/kinetics study, not a yield report. This recipe DOES still derive a value (both feedstocks already have factors), but at the bare theoretical stoichiometric amount rather than a yield-adjusted one, which understates true feedstock consumption -- see notes.; recipe-declared gap: No process energy (electricity or fuel/steam) figure for methanol carbonylation was found in the cited patent or elsewhere.; recipe-declared gap: This substance's own factor is already held directly in data/factors (per the coordinating engine's inventory), so this recipe is now primarily useful only if a future contributor needs to model a different acetic-acid supply chain, or wants to cross-check the held factor against a derived one..",QTBSBXVTEAMEQO-UHFFFAOYSA-N,1.2345441368401413
67-64-1,acetone,2.502603132875906,DERIVED by carbonroute bootstrap from data/processes/acetone.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from acetone.yaml. Route: Dehydrogenation of isopropanol. Floor 1.76961, upper 3.53922 kgCO2e/kg (completeness floor 0.5); lower bound; 5 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: isopropanol: 1.04095 kg/kg x 1.7 kgCO2e/kg = 1.76961 (table: Isopropanol (2-propanol, high purity)). Omitted: process electricity: not stated in the recipe; process fuel/steam: not stated in the recipe; recipe-declared gap: No process energy (electricity or fuel/steam) figure for isopropanol dehydrogenation to acetone was found.; recipe-declared gap: The 'overall yield accounts for alcohol recycle' reasoning above is an engineering assumption, not a cited number; no source stating an actual plant-level isopropanol utilisation efficiency was found.; recipe-declared gap: The cumene co-product route, which is the actual majority global route, is not modelled as a full recipe here because the source data (LVOC BREF) requires a co-product allocation choice this ledger did not want to make silently; see notes..",CSCPPACGZOOCGX-UHFFFAOYSA-N,1.2345441368401413
68-12-2,dimethylformamide,3.206010873026196,DERIVED by carbonroute bootstrap from data/processes/dmf.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from dmf.yaml. Route: Carbonylation of dimethylamine with carbon monoxide. Floor 2.26699, upper 4.53398 kgCO2e/kg (completeness floor 0.5); lower bound; 5 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: dimethylamine: 0.629388 kg/kg x 2.7352 kgCO2e/kg = 1.7215 (derived: dimethylamine); carbon monoxide: 0.391122 kg/kg x 1.39468 kgCO2e/kg = 0.545491 (table: Carbon monoxide). Omitted: process electricity: not stated in the recipe; process fuel/steam: not stated in the recipe; recipe-declared gap: route.yield (0.98) is DMA conversion calculated by this ledger from the patent's own stated batch masses, not a directly quoted DMF yield/selectivity percentage; it assumes the reaction is highly selective for DMF, which the patent does not explicitly confirm (its subject is catalyst-recycling economics, not yield/selectivity).; recipe-declared gap: No process energy (electricity or fuel/steam) figure for DMF production was found.; recipe-declared gap: This recipe depends on data/processes/dimethylamine.yaml, whose own feedstock figures are themselves stoichiometric-only (see that file's gaps); errors compound through the chain..",ZMXDDKWLCZADIW-UHFFFAOYSA-N,1.2345441368401413
7664-41-7,ammonia,2.6472239409993255,DERIVED by carbonroute bootstrap from data/processes/ammonia.yaml,bootstrap/0.1,GLO,2026-08-27,structural_estimate,derived work; see the recipe for each input's licence,"Derived by carbonroute bootstrap from ammonia.yaml. Route: Steam reforming of natural gas (Haber-Bosch synthesis). Floor 1.87187, upper 3.74374 kgCO2e/kg (completeness floor 0.5); lower bound; 8 term(s) omitted. Median and gsd reproduce that interval as a lognormal 90% range. Included: hydrogen: 0.1776 kg/kg x 8.45 kgCO2e/kg = 1.50072 (table: Hydrogen (chemical-grade, natural-gas steam reforming)); process steam (water): 0.65 kg/kg x 0.571 kgCO2e/kg = 0.37115 (table: Water (distilled)). Omitted: nitrogen (as process air) (cas:7727-37-9): no factor available; hydrogen: stoichiometric quantity with no sourced yield to divide by; counted at theoretical demand, which understates it; process electricity: not stated in the recipe; process fuel/steam: no fuel factor supplied to bootstrap; recipe-declared gap: No natural-gas feedstock MASS (kg or Nm3 per kg NH3) is stated anywhere found in the BREF; only its energy content (GJ/t, used above) and process-air/process-steam mass figures are given. A natural gas input line with basis 'stated' could not be added.; recipe-declared gap: No overall ammonia synthesis yield/conversion percentage (e.g. per-pass or overall, accounting for purge losses) was found in the BREF.; recipe-declared gap: No electricity kWh/kg figure specific to ammonia synthesis was found; Table 2.6's 'Net' energy figures are noted (footnote 'x') to already include 'the site specific conversion factor for the imported electricity', so electricity is embedded in fuel_MJ_per_kg above, not broken out separately.; recipe-declared gap: Only the LVIC-AAF BREF (JRC/EIPPCB, 2007) was consulted for this entry; a newer 2022 BAT Conclusions Implementing Decision exists (https://bureau-industrial-transformation.jrc.ec.europa.eu/sites/default/files/2022-03/LVIC-AAF.pdf) but was not used because it is a short (~20-page) conclusions-only document without the underlying consumption tables the 2007 background document provides..",QGZKDVFQNNGYKY-UHFFFAOYSA-N,1.2345441368401413
