chebi_id,name,n_reactions,share_of_reactions,smiles
CHEBI:15378, H(+),10342,0.557280,[H+]
CHEBI:15377, H2O,6724,0.362324,O
CHEBI:15379, O2,2946,0.158746,O=O
CHEBI:57287, CoA,1649,0.088857,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
CHEBI:30616, ATP,1384,0.074577,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
CHEBI:58349, NADP(+),1382,0.074469,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
CHEBI:57783, NADPH,1375,0.074092,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
CHEBI:57540, NAD(+),1282,0.069081,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
CHEBI:33019, diphosphate,1221,0.065794,O=P([O-])([O-])OP(=O)([O-])O
CHEBI:57945, NADH,1209,0.065147,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
CHEBI:16526, CO2,1087,0.058573,O=C=O
CHEBI:43474, phosphate,1061,0.057172,O=P([O-])([O-])O
CHEBI:59789, S-adenosyl-L-methionine,954,0.051406,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
CHEBI:456216, ADP,898,0.048389,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
CHEBI:58210, FMN,892,0.048066,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C
CHEBI:57618, FMNH2,883,0.047581,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1[nH]c(=O)[nH]c(=O)c1N2
CHEBI:57856, S-adenosyl-L-homocysteine,872,0.046988,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O
CHEBI:58223, UDP,712,0.038366,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
CHEBI:456215, AMP,553,0.029798,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
CHEBI:28938, NH4(+),545,0.029367,[NH4+]
CHEBI:16240, H2O2,488,0.026296,OO
CHEBI:13193, A,478,0.025757,*
CHEBI:17499, AH2,478,0.025757,[H]*[H]
