alias,identifier,inchikey,source,retrieved_date,notes
2- picoline,109-06-8,BSKHPKMHTQYZBB-UHFFFAOYSA-N,PubChem CID 7975 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/7975/synonyms/JSON),2026-08-27,"queried PubChem as '2-picoline' (orthographic variant of the ledger name); other CAS candidates: 1333-41-1, 38762-42-4; no factor for this identifier yet"
2-amino-3-fluorobenzoic acid,825-22-9,KUHAYJJXXGBYBW-UHFFFAOYSA-N,PubChem CID 586408 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/586408/synonyms/JSON),2026-08-27,queried PubChem as '2-amino-3-fluorobenzoic acid'; other CAS candidates: none; no factor for this identifier yet
2-bromo-6-fluoroaniline,65896-11-9,ALZFPYUPNVLVQM-UHFFFAOYSA-N,PubChem CID 2782940 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/2782940/synonyms/JSON),2026-08-27,queried PubChem as '2-bromo-6-fluoroaniline'; other CAS candidates: none; no factor for this identifier yet
2-isothiocyanato-1-methoxy-4-(trifluoromethyl)benzene,1360934-34-4,NMNVKDCLWIYFHP-UHFFFAOYSA-N,PubChem CID 86665375 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/86665375/synonyms/JSON),2026-08-27,queried PubChem as '2-isothiocyanato-1-methoxy-4-(trifluoromethyl)benzene'; other CAS candidates: none; no factor for this identifier yet
2-Me-THF,96-47-9,JWUJQDFVADABEY-UHFFFAOYSA-N,PubChem CID 7301 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/7301/synonyms/JSON),2026-08-27,queried PubChem as '2-MeTHF' (orthographic variant of the ledger name); other CAS candidates: 25265-68-3; target present in factor tables
AcCl,75-36-5,WETWJCDKMRHUPV-UHFFFAOYSA-N,PubChem CID 6367 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/6367/synonyms/JSON),2026-08-27,queried PubChem as 'AcCl'; other CAS candidates: none; no factor for this identifier yet
citric acid,77-92-9,KRKNYBCHXYNGOX-UHFFFAOYSA-N,PubChem CID 311 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/311/synonyms/JSON),2026-08-27,"queried PubChem as 'citric acid'; other CAS candidates: 79586-22-4, 141633-96-7, 134367-01-4; no factor for this identifier yet"
DMAP,1122-58-3,VHYFNPMBLIVWCW-UHFFFAOYSA-N,PubChem CID 14284 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/14284/synonyms/JSON),2026-08-27,queried PubChem as 'DMAP'; other CAS candidates: 887925-31-7; no factor for this identifier yet
EDC HCl,25952-53-8,FPQQSJJWHUJYPU-UHFFFAOYSA-N,PubChem CID 2723939 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/2723939/synonyms/JSON),2026-08-27,queried PubChem as 'EDC HCl'; other CAS candidates: none; no factor for this identifier yet
K3PO4,7778-53-2,LWIHDJKSTIGBAC-UHFFFAOYSA-K,PubChem CID 62657 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/62657/synonyms/JSON),2026-08-27,queried PubChem as 'K3PO4'; other CAS candidates: 16068-46-5; no factor for this identifier yet
KOH,1310-58-3,KWYUFKZDYYNOTN-UHFFFAOYSA-M,PubChem CID 14797 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/14797/synonyms/JSON),2026-08-27,queried PubChem as 'KOH'; other CAS candidates: none; no factor for this identifier yet
Methyl acrylate,96-33-3,BAPJBEWLBFYGME-UHFFFAOYSA-N,PubChem CID 7294 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/7294/synonyms/JSON),2026-08-27,queried PubChem as 'Methyl acrylate'; other CAS candidates: 292638-85-8; no factor for this identifier yet
Na2HPO4,7558-79-4,BNIILDVGGAEEIG-UHFFFAOYSA-L,PubChem CID 24203 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/24203/synonyms/JSON),2026-08-27,queried PubChem as 'Na2HPO4'; other CAS candidates: none; no factor for this identifier yet
NaH2PO4,7558-80-7,AJPJDKMHJJGVTQ-UHFFFAOYSA-M,PubChem CID 23672064 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/23672064/synonyms/JSON),2026-08-27,queried PubChem as 'NaH2PO4'; other CAS candidates: 89140-32-9; no factor for this identifier yet
PCl5,10026-13-8,UHZYTMXLRWXGPK-UHFFFAOYSA-N,PubChem CID 24819 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/24819/synonyms/JSON),2026-08-27,queried PubChem as 'PCl5'; other CAS candidates: none; no factor for this identifier yet
Pentane,109-66-0,OFBQJSOFQDEBGM-UHFFFAOYSA-N,PubChem CID 8003 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/8003/synonyms/JSON),2026-08-27,"queried PubChem as 'Pentane'; other CAS candidates: 102056-77-9, 107949-95-1, 9078-70-0; no factor for this identifier yet"
Phenyl chloroformate,1885-14-9,AHWALFGBDFAJAI-UHFFFAOYSA-N,PubChem CID 15891 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/15891/synonyms/JSON),2026-08-27,queried PubChem as 'Phenyl chloroformate'; other CAS candidates: none; no factor for this identifier yet
Salicylic Acid,69-72-7,YGSDEFSMJLZEOE-UHFFFAOYSA-N,PubChem CID 338 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/338/synonyms/JSON),2026-08-27,queried PubChem as 'Salicylic Acid'; other CAS candidates: 29656-58-4; no factor for this identifier yet
Sec Butanol,78-92-2,BTANRVKWQNVYAZ-UHFFFAOYSA-N,PubChem CID 6568 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/6568/synonyms/JSON),2026-08-27,queried PubChem as 'Sec-Butanol' (orthographic variant of the ledger name); other CAS candidates: 15892-23-6; no factor for this identifier yet
TFAA,407-25-0,QAEDZJGFFMLHHQ-UHFFFAOYSA-N,PubChem CID 9845 (https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/cid/9845/synonyms/JSON),2026-08-27,queried PubChem as 'TFAA'; other CAS candidates: none; no factor for this identifier yet
